year,year,percentage
1950,1950,14.285714285714285
1951,1951,
1952,1952,12.5
1953,1953,
1954,1954,11.11111111111111
1955,1955,
1956,1956,25.0
1957,1957,12.5
1958,1958,
1959,1959,
1960,1960,
1961,1961,12.5
1962,1962,22.22222222222222
1963,1963,10.0
1964,1964,
1965,1965,10.0
1966,1966,33.33333333333333
1967,1967,
1968,1968,8.333333333333332
1969,1969,9.090909090909092
1970,1970,15.384615384615385
1971,1971,27.27272727272727
1972,1972,8.333333333333332
1973,1973,6.666666666666667
1974,1974,6.666666666666667
1975,1975,28.57142857142857
1976,1976,18.75
1977,1977,17.647058823529413
1978,1978,12.5
1979,1979,6.666666666666667
1980,1980,
1981,1981,33.33333333333333
1982,1982,18.75
1983,1983,
1984,1984,12.5
1985,1985,25.0
1986,1986,
1987,1987,6.25
1988,1988,31.25
1989,1989,18.75
1990,1990,12.5
1991,1991,12.5
1992,1992,25.0
1993,1993,18.75
1994,1994,12.5
1995,1995,52.94117647058824
1996,1996,18.75
1997,1997,29.411764705882355
1998,1998,18.75
1999,1999,12.5
2000,2000,82.35294117647058
2001,2001,58.82352941176471
2002,2002,35.294117647058826
2003,2003,25.0
2004,2004,16.666666666666664
2005,2005,10.526315789473683
2006,2006,16.666666666666664
2007,2007,52.94117647058824
2008,2008,55.55555555555556
2009,2009,29.411764705882355
2010,2010,73.68421052631578
2011,2011,42.10526315789473
2012,2012,40.0
2013,2013,26.31578947368421
2014,2014,52.63157894736842
2015,2015,63.1578947368421
2016,2016,28.57142857142857
2017,2017,20.0
2018,2018,14.285714285714285
2019,2019,14.285714285714285
2020,2020,29.411764705882355
2021,2021,36.36363636363637
2022,2022,45.45454545454545
